"time, send_bytes, send_device, rcv_device"
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,491520.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,491520.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,589824.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,491520.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,860160.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,860160.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,491520.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,589824.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,1032192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,1032192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,1032192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,589824.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735784.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
